dragon,wingspan,scales,intelligence,mountain
1,70,chromatic,136,A
2,33,metallic,122,A
3,50,chromatic,109,A
4,32,metallic,109,A
5,85,chromatic,124,A
6,39,metallic,117,A
7,19,chromatic,71,A
8,82,metallic,129,A
9,86,chromatic,150,A
10,25,metallic,135,A
11,40,chromatic,112,A
12,62,metallic,128,A
13,26,chromatic,78,A
14,68,metallic,151,A
15,57,chromatic,105,A
16,33,metallic,123,A
17,83,chromatic,132,A
18,70,metallic,141,A
19,72,chromatic,151,A
20,19,metallic,117,A
21,93,chromatic,144,A
22,80,metallic,140,A
23,58,chromatic,129,A
24,49,metallic,128,A
25,32,chromatic,106,A
26,67,metallic,118,A
27,92,chromatic,128,A
28,94,metallic,138,A
29,76,chromatic,131,A
30,52,metallic,96,A
31,17,chromatic,87,A
32,85,metallic,121,A
33,73,chromatic,125,A
34,87,metallic,154,A
35,70,chromatic,134,A
36,51,metallic,116,A
37,37,chromatic,120,A
38,86,metallic,145,A
39,85,chromatic,148,A
40,41,metallic,133,A
41,17,chromatic,93,B
42,48,metallic,113,B
43,44,chromatic,125,B
44,18,metallic,111,B
45,48,chromatic,117,B
46,77,metallic,142,B
47,90,chromatic,144,B
48,37,metallic,120,B
49,29,chromatic,134,B
50,79,metallic,144,B
51,91,chromatic,165,B
52,58,metallic,135,B
53,84,chromatic,130,B
54,41,metallic,147,B
55,83,chromatic,149,B
56,66,metallic,166,B
57,79,chromatic,119,B
58,78,metallic,161,B
59,62,chromatic,138,B
60,81,metallic,155,B
61,34,chromatic,124,B
62,92,metallic,181,B
63,59,chromatic,137,B
64,83,metallic,150,B
65,52,chromatic,130,B
66,23,metallic,113,B
67,27,chromatic,131,B
68,51,metallic,171,B
69,26,chromatic,85,B
70,21,metallic,87,B
71,64,chromatic,120,B
72,50,metallic,146,B
73,72,chromatic,124,B
74,53,metallic,121,B
75,59,chromatic,134,B
76,21,metallic,131,B
77,64,chromatic,154,B
78,43,metallic,148,B
79,45,chromatic,118,B
80,27,metallic,112,B
81,21,chromatic,106,C
82,62,metallic,150,C
83,94,chromatic,144,C
84,88,metallic,162,C
85,62,chromatic,128,C
86,90,metallic,169,C
87,43,chromatic,121,C
88,22,metallic,129,C
89,35,chromatic,110,C
90,27,metallic,126,C
91,64,chromatic,128,C
92,82,metallic,170,C
93,59,chromatic,125,C
94,66,metallic,152,C
95,72,chromatic,121,C
96,34,metallic,130,C
97,72,chromatic,118,C
98,50,metallic,117,C
99,52,chromatic,135,C
100,94,metallic,168,C
101,62,chromatic,142,C
102,20,metallic,109,C
103,77,chromatic,133,C
104,45,metallic,128,C
105,80,chromatic,163,C
106,80,metallic,159,C
107,79,chromatic,135,C
108,37,metallic,139,C
109,16,chromatic,116,C
110,70,metallic,149,C
111,75,chromatic,150,C
112,72,metallic,143,C
113,86,chromatic,179,C
114,41,metallic,144,C
115,23,chromatic,134,C
116,35,metallic,133,C
117,96,chromatic,145,C
118,91,metallic,152,C
119,34,chromatic,122,C
120,67,metallic,138,C
121,22,chromatic,138,D
122,65,metallic,191,D
123,41,chromatic,157,D
124,67,metallic,213,D
125,37,chromatic,171,D
126,20,metallic,148,D
127,19,chromatic,134,D
128,67,metallic,201,D
129,23,chromatic,154,D
130,15,metallic,144,D
131,32,chromatic,119,D
132,16,metallic,145,D
133,33,chromatic,132,D
134,59,metallic,186,D
135,33,chromatic,155,D
136,78,metallic,242,D
137,80,chromatic,233,D
138,22,metallic,141,D
139,38,chromatic,152,D
140,32,metallic,155,D
141,21,chromatic,129,D
142,17,metallic,130,D
143,51,chromatic,177,D
144,44,metallic,172,D
145,80,chromatic,247,D
146,45,metallic,205,D
147,55,chromatic,182,D
148,76,metallic,252,D
149,78,chromatic,229,D
150,33,metallic,138,D
151,57,chromatic,194,D
152,55,metallic,207,D
153,15,chromatic,121,D
154,46,metallic,163,D
155,26,chromatic,155,D
156,89,metallic,266,D
157,49,chromatic,175,D
158,73,metallic,210,D
159,82,chromatic,250,D
160,48,metallic,174,D
161,91,chromatic,217,E
162,32,metallic,137,E
163,84,chromatic,213,E
164,54,metallic,158,E
165,87,chromatic,180,E
166,80,metallic,189,E
167,41,chromatic,136,E
168,70,metallic,186,E
169,50,chromatic,143,E
170,24,metallic,143,E
171,50,chromatic,149,E
172,84,metallic,221,E
173,79,chromatic,194,E
174,14,metallic,121,E
175,50,chromatic,149,E
176,71,metallic,198,E
177,87,chromatic,196,E
178,31,metallic,151,E
179,14,chromatic,115,E
180,86,metallic,232,E
181,35,chromatic,147,E
182,37,metallic,151,E
183,65,chromatic,169,E
184,73,metallic,189,E
185,14,chromatic,99,E
186,62,metallic,180,E
187,72,chromatic,195,E
188,84,metallic,198,E
189,73,chromatic,201,E
190,77,metallic,225,E
191,24,chromatic,96,E
192,27,metallic,127,E
193,75,chromatic,176,E
194,75,metallic,186,E
195,74,chromatic,192,E
196,72,metallic,189,E
197,33,chromatic,97,E
198,63,metallic,174,E
199,90,chromatic,210,E
200,20,metallic,144,E
